2021年5月,02201 青森市,2021000505,Aomori,0.37,0.83,0.71,377,207,502,555,885,1042,354,109,1506,603,199384,14.4,73,174.5
2021年6月,02201 青森市,2021000606,Aomori,0.38,0.81,0.72,377,197,435,691,601,1236,175,264,946,527,150538,19.4,77,252.3
2021年7月,02201 青森市,2021000707,Aomori,0.38,0.76,0.7,371,140,382,356,642,1344,294,195,1388,651,146267,23.9,80,244.5
2021年8月,02201 青森市,2021000808,Aomori,0.64,0.68,0.62,364,129,393,637,409,2343,147,148,997,749,165040,23.5,81,148.7
2021年9月,02201 青森市,2021000909,Aomori,0.56,0.71,0.65,358,178,426,531,501,1700,324,418,855,677,132707,19.8,74,214.8
2021年10月,02201 青森市,2021001010,Aomori,0.58,0.73,0.69,325,198,414,554,546,976,329,361,1291,823,161917,13.9,77,131.2
2021年11月,02201 青森市,2021001111,Aomori,0.57,0.74,0.69,355,212,410,406,367,952,388,537,1079,639,155241,9,79,94.8
2018年1月,03201 盛岡市,2018000101,Morioka,0.86,0.76,0.61,609,217,487,381,331,1104,139,163,386,467,177008,-1.8,75,125.3
2018年2月,03201 盛岡市,2018000202,Morioka,0.68,0.86,0.68,623,292,541,391,469,1191,95,205,442,355,158689,-2.7,77,147
2018年3月,03201 盛岡市,2018000303,Morioka,0.64,0.8,0.66,639,274,564,277,419,646,91,249,718,598,181122,4,68,170.5
2018年4月,03201 盛岡市,2018000404,Morioka,0.56,0.8,0.67,625,279,524,559,522,865,15,561,877,529,171729,9.8,68,155.8
2018年5月,03201 盛岡市,2018000505,Morioka,0.52,0.84,0.72,621,351,500,387,721,1153,72,208,1014,416,154702,15.4,69,171.9
2018年6月,03201 盛岡市,2018000606,Morioka,0.56,0.75,0.63,647,353,552,487,666,1065,88,129,803,374,152628,19.2,74,146.2
2018年7月,03201 盛岡市,2018000707,Morioka,0.57,0.81,0.67,611,249,598,380,631,1588,67,264,1068,218,163344,24.7,81,157.1
2018年8月,03201 盛岡市,2018000808,Morioka,0.56,0.77,0.65,601,248,531,530,582,2098,44,252,976,255,158112,23.3,80,145.8
2018年9月,03201 盛岡市,2018000909,Morioka,0.55,0.76,0.63,589,264,587,1044,609,969,108,344,1188,332,142441,19.2,84,120.3
2018年10月,03201 盛岡市,2018001010,Morioka,0.64,0.77,0.64,620,274,591,560,568,930,67,332,980,216,150423,13.6,80,162.3
2018年11月,03201 盛岡市,2018001111,Morioka,0.63,0.77,0.63,598,292,590,468,695,802,332,733,1012,168,154124,7,80,141.3
2018年12月,03201 盛岡市,2018001212,Morioka,0.62,0.82,0.67,587,277,566,1211,599,2058,262,484,1044,309,205881,0.8,76,134.6
2019年1月,03201 盛岡市,2019000101,Morioka,0.68,0.85,0.68,662,284,553,672,481,1139,162,488,968,274,182742,-1.1,72,142
2019年2月,03201 盛岡市,2019000202,Morioka,0.7,0.86,0.7,582,264,525,668,698,1063,8,327,978,414,175355,-0.1,70,124.8
2019年3月,03201 盛岡市,2019000303,Morioka,0.76,0.88,0.74,611,258,611,657,562,1021,92,209,601,369,198934,3.9,67,156.5
2019年4月,03201 盛岡市,2019000404,Morioka,0.66,0.92,0.73,615,227,583,769,544,1065,66,196,1106,325,164136,8.1,68,187.8
2019年5月,03201 盛岡市,2019000505,Morioka,0.72,0.85,0.7,590,215,556,796,522,1169,103,365,739,444,196558,16.4,62,274
2019年6月,03201 盛岡市,2019000606,Morioka,0.62,0.92,0.79,613,232,534,674,808,1491,82,480,935,389,168053,18.6,76,169.4
2019年7月,03201 盛岡市,2019000707,Morioka,0.63,0.88,0.75,573,227,507,532,542,1546,109,285,1051,637,150845,22.6,81,147.6
2019年8月,03201 盛岡市,2019000808,Morioka,0.68,0.86,0.7,557,219,425,697,425,2121,172,500,1480,542,172739,25.4,80,162.7
2019年9月,03201 盛岡市,2019000909,Morioka,0.66,0.84,0.7,549,272,520,724,354,887,155,441,1809,585,156300,20.3,79,151.2
2019年10月,03201 盛岡市,2019001010,Morioka,0.75,0.75,0.66,544,308,492,339,381,680,135,458,916,517,181734,14.1,83,120.6
2019年11月,03201 盛岡市,2019001111,Morioka,0.73,0.77,0.65,582,265,519,549,459,912,219,675,1153,517,163766,5.9,73,133
2019年12月,03201 盛岡市,2019001212,Morioka,0.67,0.78,0.63,579,283,575,1183,359,1559,205,559,1094,445,197250,1.3,78,113.3
2020年1月,03201 盛岡市,2020000101,Morioka,0.69,0.69,0.57,519,234,528,667,387,703,181,370,904,466,166031,0.2,76,118.4
2020年2月,03201 盛岡市,2020000202,Morioka,0.7,0.68,0.55,476,278,595,483,479,681,138,219,1080,449,207829,1,76,126.6
2020年3月,03201 盛岡市,2020000303,Morioka,0.58,0.68,0.55,533,301,664,281,693,810,163,188,857,372,171706,4.8,70,151.1
2020年4月,03201 盛岡市,2020000404,Morioka,0.55,0.8,0.64,548,309,654,535,715,684,214,192,1218,546,161115,7.3,70,130.2
2020年5月,03201 盛岡市,2020000505,Morioka,0.54,0.81,0.64,489,271,560,411,497,1092,86,116,1027,453,152795,15.4,72,159.2
2020年6月,03201 盛岡市,2020000606,Morioka,0.61,0.75,0.62,461,244,473,557,628,669,108,154,1054,434,152870,20.4,73,200.5
2020年7月,03201 盛岡市,2020000707,Morioka,0.63,0.73,0.62,514,214,509,340,589,1260,76,289,806,643,170735,21.5,88,54.3
2020年8月,03201 盛岡市,2020000808,Morioka,0.63,0.81,0.68,539,196,500,546,549,1488,126,350,1053,511,170987,25.3,82,164.9
2020年9月,03201 盛岡市,2020000909,Morioka,0.7,0.86,0.72,584,191,482,558,503,1016,169,305,1948,330,158454,21,83,114.6
2020年10月,03201 盛岡市,2020001010,Morioka,0.56,0.84,0.66,528,279,501,564,520,471,262,325,722,419,157881,12.7,81,115
2020年11月,03201 盛岡市,2020001111,Morioka,0.57,0.82,0.64,557,238,498,645,620,1239,179,172,748,467,172206,6.8,78,127.4
2020年12月,03201 盛岡市,2020001212,Morioka,0.64,0.83,0.67,640,297,495,1261,459,1962,119,530,846,480,199654,0.2,76,101.6
2021年1月,03201 盛岡市,2021000101,Morioka,0.67,0.83,0.66,594,249,491,948,412,1046,413,244,1147,352,178869,-2.8,78,105.3
2021年2月,03201 盛岡市,2021000202,Morioka,0.68,0.73,0.6,552,266,473,812,358,1023,360,251,1087,218,163808,-0.2,73,138.8
2021年3月,03201 盛岡市,2021000303,Morioka,0.69,0.76,0.59,580,265,515,894,471,934,211,187,1083,207,180466,5.7,69,167.6
2021年4月,03201 盛岡市,2021000404,Morioka,0.64,0.78,0.61,586,261,487,736,195,899,271,158,1082,487,159512,9.3,65,202.1
2021年5月,03201 盛岡市,2021000505,Morioka,0.64,0.79,0.63,577,247,525,731,444,910,153,230,1296,792,158386,14.9,74,166.4
2021年6月,03201 盛岡市,2021000606,Morioka,0.63,0.83,0.66,550,221,471,843,483,1176,209,280,1265,523,156998,20.6,75,201.6
2021年7月,03201 盛岡市,2021000707,Morioka,0.74,0.87,0.67,565,204,458,276,531,1796,233,412,1301,734,157626,24.5,82,170.4
2021年8月,03201 盛岡市,2021000808,Morioka,0.68,0.87,0.71,513,251,424,458,287,1538,191,202,974,729,178708,23.8,85,112.5
2021年9月,03201 盛岡市,2021000909,Morioka,0.68,0.9,0.77,542,263,481,399,568,793,80,318,1062,571,160237,19.2,79,167.1
2021年10月,03201 盛岡市,2021001010,Morioka,0.69,0.9,0.76,536,394,470,469,530,877,205,611,880,620,159279,13.2,83,117.1
2021年11月,03201 盛岡市,2021001111,Morioka,0.62,0.85,0.71,537,313,437,804,512,676,133,609,1089,521,166222,7.7,84,122.5
2018年1月,05201 秋田市,2018000101,Akita,0.32,0.93,0.68,475,209,499,632,627,757,292,349,682,301,167773,0.2,73,33.6
2018年2月,05201 秋田市,2018000202,Akita,0.4,0.9,0.73,417,220,449,968,617,520,278,495,702,256,156197,-0.9,74,71.3
2018年3月,05201 秋田市,2018000303,Akita,0.42,0.89,0.72,398,204,479,1182,692,905,346,520,987,309,176579,5.2,70,119.3
2018年4月,05201 秋田市,2018000404,Akita,0.46,0.88,0.74,417,189,451,757,810,1096,179,446,734,393,166215,10.3,72,137.5
2018年5月,05201 秋田市,2018000505,Akita,0.58,0.86,0.74,443,168,481,605,614,995,112,397,695,372,156923,15.6,74,162.3
2018年6月,05201 秋田市,2018000606,Akita,0.72,0.79,0.69,445,185,455,796,535,929,229,384,933,418,173271,19.6,75,167.2
2018年7月,05201 秋田市,2018000707,Akita,0.69,0.8,0.7,490,203,462,560,519,1584,213,423,1041,505,151827,25.3,82,168.3
2018年8月,05201 秋田市,2018000808,Akita,0.65,0.76,0.66,436,183,388,1402,655,1791,225,345,1177,418,167357,25,76,181.5
2018年9月,05201 秋田市,2018000909,Akita,0.66,0.76,0.66,436,235,485,660,568,806,178,329,946,447,169814,20.5,78,159.6
2018年10月,05201 秋田市,2018001010,Akita,0.71,0.7,0.62,435,243,484,798,661,927,254,289,1193,585,161991,15.3,73,157.1
2018年11月,05201 秋田市,2018001111,Akita,0.6,0.63,0.54,451,201,448,726,753,1149,201,257,1392,456,148887,9.2,73,118.6
2018年12月,05201 秋田市,2018001212,Akita,0.52,0.77,0.65,488,256,493,1744,672,1929,423,334,1410,492,190946,2.7,75,49.9
2019年1月,05201 秋田市,2019000101,Akita,0.49,0.73,0.59,489,188,463,630,639,1033,149,340,1052,400,166919,0.9,70,44.4
2019年2月,05201 秋田市,2019000202,Akita,0.49,0.75,0.59,444,196,457,962,762,673,178,312,975,420,163352,1.5,70,69.2
2019年3月,05201 秋田市,2019000303,Akita,0.45,0.76,0.62,438,236,423,867,639,992,333,195,1186,315,164590,5.4,68,142.3
2019年4月,05201 秋田市,2019000404,Akita,0.39,0.85,0.69,389,203,452,1023,565,873,193,242,958,236,145181,9.4,66,179.7
2019年5月,05201 秋田市,2019000505,Akita,0.47,0.91,0.74,432,227,491,608,445,1221,270,322,777,324,166531,16.8,64,291.9
2019年6月,05201 秋田市,2019000606,Akita,0.44,0.87,0.7,459,207,467,598,727,785,390,309,808,312,155742,19.9,74,194.3
2019年7月,05201 秋田市,2019000707,Akita,0.51,0.87,0.67,395,172,431,863,565,1693,402,289,647,245,139151,24.3,76,198.4
2019年8月,05201 秋田市,2019000808,Akita,0.48,0.88,0.71,369,159,386,809,785,1491,149,311,983,562,201668,26.5,78,218.9
2019年9月,05201 秋田市,2019000909,Akita,0.46,0.91,0.73,407,186,383,658,851,1008,197,330,1273,605,156068,22,73,186.2
2019年10月,05201 秋田市,2019001010,Akita,0.48,0.85,0.7,444,221,451,632,479,713,146,172,719,363,146355,16,75,151.8
2019年11月,05201 秋田市,2019001111,Akita,0.49,0.92,0.76,421,211,459,798,657,694,230,549,1132,437,151049,8.1,71,91.6
2019年12月,05201 秋田市,2019001212,Akita,0.5,0.96,0.78,465,227,475,1947,683,1502,237,985,1088,661,191272,3.6,74,65
2020年1月,05201 秋田市,2020000101,Akita,0.43,0.97,0.8,483,204,507,780,566,814,199,1022,950,514,165810,2.3,74,65.5
2020年2月,05201 秋田市,2020000202,Akita,0.44,0.95,0.76,477,258,552,900,529,899,187,451,1129,373,170268,2.5,76,83
2020年3月,05201 秋田市,2020000303,Akita,0.47,1.04,0.8,526,235,600,1042,688,864,177,510,1248,429,162185,6.4,69,167.2
2020年4月,05201 秋田市,2020000404,Akita,0.47,0.99,0.74,568,234,573,966,515,960,216,603,1003,587,145695,8.6,70,135.8
2020年5月,05201 秋田市,2020000505,Akita,0.37,0.98,0.76,527,245,569,749,607,1028,168,510,1194,439,148258,15.5,76,161.6
